ST,tot_cases,conf_cases,new_case,tot_death,conf_death,created_at
AL,4946,4946,223,165,165,4/19/20 16:22
AR,1781,,4,40,,4/19/20 16:22
AZ,4929,4929,210,184,184,4/19/20 16:22
CA,28963,,0,1072,,4/19/20 16:22
CO,8582,7941,302,373,363,4/16/20 16:22
CT,15884,15884,1129,971,774,4/16/20 16:22
DE,2745,2708,207,72,63,4/19/20 16:22
FL,25598,,801,774,,4/19/20 16:22
FSM,0,0,0,0,0,4/19/20 16:22
GA,2,2,2,0,,3/26/20 12:22
GU,135,,2,5,,4/12/20 16:22
HI,1,,1,0,,3/26/20 12:22
IA,2902,,389,75,,4/19/20 16:22
ID,1587,1507,101,41,41,4/15/20 16:22
IL,30357,30357,1197,1290,1290,4/19/20 16:22
IN,11210,,569,562,562,4/19/20 16:22
KS,1849,1849,38,92,,4/19/20 16:22
KY,2960,2960,253,148,148,4/19/20 16:22
LA,23928,,348,1296,1296,4/19/20 16:22
MA,38077,38077,1705,1706,1706,4/19/20 16:22
MD,10784,,752,459,392,4/15/20 16:22
ME,867,867,20,34,34,4/19/20 16:22
MI,31424,31424,707,2391,2391,4/19/20 16:22
MN,2470,,257,143,143,4/19/20 16:22
MO,5667,,150,176,,4/19/20 16:22
MP,14,14,0,2,2,4/19/20 16:22
MS,4512,4512,538,169,169,4/19/20 16:22
MT,433,433,7,10,10,4/19/20 16:22
NC,0,0,0,0,0,2/19/21 13:38
ND,585,585,57,10,,4/19/20 16:22
NE,1474,,187,28,,4/19/20 16:22
NH,1392,,50,41,,4/19/20 16:22
NJ,85301,85301,3865,4202,4202,4/19/20 16:22
NM,1845,,47,55,,4/19/20 16:22
NY,105548,,3258,3562,,4/18/20 16:22
NYC,116073,116073,5982,11225,7166,4/15/20 16:22
OH,6975,6881,457,268,,4/12/20 16:22
OK,2359,2357,96,131,131,4/16/20 16:22
OR,1910,1910,66,74,74,4/19/20 16:22
PA,27735,27545,1245,707,,4/16/20 16:22
PR,1213,1213,95,62,62,4/19/20 16:22
RI,4706,,215,150,,4/19/20 16:22
RMI,0,0,0,0,0,4/19/20 16:22
SC,1,1,1,0,,3/3/21 19:57
SD,1635,,93,7,7,4/19/20 16:22
TN,6796,6796,33,147,147,4/19/20 16:22
TX,18923,,663,477,,4/19/20 16:22
UT,3151,3151,205,28,28,4/19/20 16:22
VA,7491,7406,602,231,231,4/16/20 16:22
VT,812,,9,38,,4/19/20 16:22
WI,4346,4346,147,220,220,4/19/20 16:22
WV,863,863,38,18,,4/19/20 16:22
WY,373,275,103,1,,4/12/20 16:22
