State,Population,Census populatio 2010,Percent of  total 
California,39512223,37254523,11.96%
Texas,28995881,25145561,8.68%
Florida,21477737,18801310,6.44%
New York,19453561,19378102,5.91%
Pennsylvania,12801989,12702379,3.87%
Illinois,12671821,12830632,3.85%
Ohio,11689100,11536504,3.53%
Georgia,10617423,9687653,3.18%
North Carolina,10488084,9535483,3.14%
Michigan,9986857,9883640,3.02%
New Jersey,8882190,8791894,2.69%
Virginia,8535519,8001024,2.58%
Washington,7614893,6724540,2.28%
Arizona,7278717,6392017,2.17%
Massachusetts,6949503,6547629,2.09%
Tennessee,6833174,6346105,2.05%
Indiana,6732219,6483802,2.02%
Missouri,6137428,5988927,1.85%
Maryland,6045680,5773552,1.83%
Wisconsin,5822434,5686986,1.76%
Colorado,5758736,5029196,1.72%
Minnesota,5639632,5303925,1.70%
South Carolina,5148714,4625364,1.54%
Alabama,4903185,4779736,1.48%
Louisiana,4648794,4533372,1.41%
Kentucky,4467673,4339367,1.35%
Oregon,4217737,3831074,1.27%
Oklahoma,3956971,3751351,1.19%
Connecticut,3565287,3574097,1.08%
Utah,3205958,2763885,0.96%
Puerto Rico,3193694,3725789,0.97%
Iowa,3155070,3046355,0.95%
Nevada,3080156,2700551,0.92%
Arkansas,3017825,2915918,0.91%
Mississippi,2976149,2967297,0.90%
Kansas,2913314,2853118,0.88%
New Mexico,2096829,2059179,0.63%
Nebraska,1934408,1826341,0.58%
Idaho,1787065,1567582,0.53%
West Virginia,1792147,1852994,0.55%
Hawaii,1415872,1360301,0.43%
New Hampshire,1359711,1316470,0.41%
Maine,1344212,1328361,0.40%
Montana,1068778,989415,0.32%
Rhode Island,1059361,1052567,0.32%
Delaware,973764,897934,0.29%
South Dakota,884659,814180,0.27%
North Dakota,762062,672591,0.23%
Alaska,731545,710231,0.22%
District of Columbia,705749,601723,0.21%
Vermont,623989,625741,0.19%
Wyoming,578759,563626,0.17%
Guam,165718,"159,358[4]",0.05%
U.S. Virgin Islands,104914,"106,405[5]",0.03%
American Samoa,55641,"55,519[6]",0.02%
Northern Mariana Islands,55194,"53,883[7]",0.02%
Contiguous United States,325386357,306675006,98.38%
The fifty states,327533795,308143836,99.02%
Fifty states + D.C.,328300544,308745538,99.24%
Total U.S. (including D.C. and territories),331814684,312846492,100.00%
