Rank,State,income(dollars)
1,District of Columbia,85203
2,Maryland,83242
3,New Jersey,81740
4,Hawaii,80212
5,Massachusetts,79835
6,Connecticut,76348
7,California,75277
8,New Hampshire,74991
9,Alaska,74346
10,Washington,74073
11,Virginia,72577
12,Colorado,71953
13,Utah,71414
14,Minnesota,70315
15,New York,67844
16,Illinois,65030
17,Delaware,64805
18,Rhode Island,64340
19,North Dakota,63837
20,Oregon,63426
21,Wyoming,61584
22,Pennsylvania,60905
23,Vermont,60782
24,Wisconsin,60773
25,Texas,60629
26,Iowa,59955
27,Nebraska,59566
28,Arizona,59246
29,Georgia,58756
30,Nevada,58646
31,Kansas,58218
32,Michigan,56697
33,South Dakota,56274
34,Ohio,56111
35,Indiana,55746
36,Maine,55602
37,Idaho,55583
38,Florida,55462
39,Montana,55328
40,Missouri,54478
41,North Carolina,53855
42,Tennessee,52375
43,South Carolina,52306
44,Oklahoma,51924
45,Kentucky,50247
46,Alabama,49861
48,Louisiana,47905
49,New Mexico,47169
50,Arkansas,47062
51,Mississippi,44717
52,West Virginia,44097
56,Puerto Rico,20296
